id,titulo,empresa,link,data_coleta
29529725,ESTAGIÁRIO(A) DE DIGITAL SOLUTIONS YY3RME,ACELEN,https://acelen.jobs.recrut.ai/job/YY3RME,2026-03-03T20:44:41.686109
7a2da5bb,"Supervisor de Recursos Humanos - Divisão 2 (Baterias)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10937668?jobBoardSource=gupy_public_page,2026-03-04T20:45:07.344520
4e6d1bc4,"ESPECIALISTA DE GESTÃO DE PROJETOS - SALVADOR/BA
Salvador - BA
Efetivo",LM MOBILIDADE,https://lmvagas.gupy.io/jobs/10297236?jobBoardSource=gupy_public_page,2026-03-04T20:45:07.344520
419ce817,"Engenheiro de Processos
Camaçari - BA
Efetivo",CIBRA,https://cibra.gupy.io/jobs/10130075?jobBoardSource=gupy_public_page,2026-03-04T20:45:07.344520
08714080,"Vendedor(a) - MATA DE SÃO JOAO / IMBASSAI / PORTO DO SAUIPE /BA
Alagoinhas - BA
Temporário",SOLAR COCA COLA,https://solarcocacola.gupy.io/jobs/10912848?jobBoardSource=gupy_public_page,2026-03-04T20:45:07.344520
90beb39f,"Promotor de Vendas - PCD
Salvador - BA
Efetivo",M. DIAS BRANCO,https://mdiasbranco.gupy.io/jobs/10907437?jobBoardSource=gupy_public_page,2026-03-04T20:45:07.344520
d3b7530d,"Auxiliar de Manutenção | Salvador [Exclusivo para pessoas com deficiência]
Salvador - BA
Efetivo",WILSON SONS,https://wilsonsons.gupy.io/jobs/10657947?jobBoardSource=gupy_public_page,2026-03-04T20:45:07.344520
f13debb2,"Estágio em Engenharia Civil, Edificações, Técnico em Eletrotécnica ou Engenharia Elétrica | Salvador
Salvador - BA
Estágio",WILSON SONS,https://wilsonsons.gupy.io/jobs/10760119?jobBoardSource=gupy_public_page,2026-03-04T20:45:07.344520
437f229f,Escriturário de Manutenção,BRIDGESTONE,https://bridgestone.wd5.myworkdayjobs.com/pt-BR/LATAMExternalCareers/job/Baha-Brazil/Escriturrio-de-Manuteno_2026_04772?q=Bahia,2026-03-04T20:45:07.344520
da5038e2,"COORDENADOR(A) DE TURNO
Identificação da vaga: REF94081L",CONTINENTAL,https://jobs.continental.com/pt/detail-page/job-detail/REF94081L-p-fb0ee9954432e88b5e372ea5cec73c8a/coordenador-a-de-turno-/,2026-03-04T20:45:07.344520
